VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,2024-10-01 01:30:44,2024-10-01 01:48:26,1,3.0,1,N,162,246,1,18.4,1.0,0.5,1.5,0.0,1.0,24.9,2.5,0.0
1,2024-10-01 01:12:20,2024-10-01 01:25:25,1,2.2,1,N,48,236,1,14.2,3.5,0.5,3.8,0.0,1.0,23.0,2.5,0.0
1,2024-10-01 01:04:46,2024-10-01 01:13:52,1,2.7,1,N,142,24,1,13.5,3.5,0.5,3.7,0.0,1.0,22.2,2.5,0.0
1,2024-10-01 01:12:10,2024-10-01 01:23:01,1,3.1,1,N,233,75,1,14.2,3.5,0.5,2.0,0.0,1.0,21.2,2.5,0.0
1,2024-10-01 01:30:22,2024-10-01 01:30:39,1,0.0,1,N,262,262,3,3.0,3.5,0.5,0.0,0.0,1.0,8.0,2.5,0.0
2,2024-10-01 01:31:20,2024-10-01 01:36:00,2,0.97,1,N,137,137,1,7.2,1.0,0.5,2.44,0.0,1.0,14.64,2.5,0.0
1,2024-10-01 01:42:57,2024-10-01 01:49:01,1,1.3,1,N,142,48,1,7.9,3.5,0.5,2.55,0.0,1.0,15.45,2.5,0.0
1,2024-10-01 01:59:55,2024-10-01 02:02:24,1,0.5,1,N,230,161,1,5.1,3.5,0.5,2.0,0.0,1.0,12.1,2.5,0.0
1,2024-10-01 01:00:47,2024-10-01 01:04:22,0,1.1,1,N,142,237,1,7.2,3.5,0.5,3.0,0.0,1.0,15.2,2.5,0.0
1,2024-10-01 01:17:36,2024-10-01 01:26:22,1,2.2,1,N,162,145,1,11.4,3.5,0.5,3.3,0.0,1.0,19.7,2.5,0.0
